ID,Foot,Hand,Arm,Height
1,250,185,1550,1640
2,285,245,,1780
3,,240,1930,1830
4,245,,,1640
5,262,200,,
6,290,260,1760,1680
7,240,215,1630,1610
8,240,190,1660,1650
9,270,230,1850,1820
10,245,170,1750,1690
11,280,235,1720,1770
12,290,220,1930,1870
13,250,220,1720,1750
14,248,,,1630
15,245,205,1660,1660
16,,190,1600,
17,260,180,1540,1610
18,,180,,
19,260,205,1830,1780
20,260,260,1890,1800
21,,240,,1690
22,245,,1720,1690
23,,220,1990,1850
24,274,260,1870,1780
25,250,200,1630,1600
26,240,195,1740,1690
27,260,235,1900,1820
28,260,240,1830,1780
29,245,230,1850,1790
30,260,210,1970,1890
31,240,215,1830,1750
32,320,225,1810,1770
33,340,230,1890,1830
34,330,260,2090,1870
35,300,225,1920,1820
36,250,210,1800,1680
37,260,230,1820,1750
38,280,210,1900,1860
39,300,230,1980,1900
40,290,230,1820,1750
