Armspan,Footlength,Height,Handspan
1700,270,1680,210
1680,240,1680,200
1650,250,1610,195
1600,200,1600,155
1750,280,1790,221
1760,270,1690,220
1760,260,1720,207
1720,270,1660,209
1890,280,1840,240
1550,230,1580,207
1590,240,1700,195
1500,220,1530,188
1680,245,1620,195
1850,290,1780,230
1830,290,1730,230
1820,280,1850,240
1700,260,1650,230
1630,240,1610,215
1660,240,1650,190
1850,270,1820,230
1750,245,1690,170
1720,280,1770,235
1820,290,1870,220
1720,250,1750,220
1660,245,1660,205
1540,260,1610,180
1830,260,1780,205
1890,260,1800,260
1870,274,1780,260
1820,300,1830,240
